	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
aka_____________A	0.3905056277888538	0.224940641979855	0.14178549672018015	0.14515647810225238	0.2954047636172137	0.17653411221655002	0.3191569185080331	0.47416216431118274	0.18046292480170076	0.14194365847003376	0.12134745080749511	0.17414948633383215	0.15946611239370406	0.18561733173711387	0.23422899027755628	0.2587008421743643	0.31615695677075784	0.25861465441639775	0.24777349631402956	0.2111900066279448
lah_____________A	0.05752316975264845	0.014616701858810519	0.020196043632342488	0.025370289776792374	0.031049027849136813	0.022478064303602458	0.026501748793917188	0.03535766705586608	0.03201646055473846	0.018235363564919067	0.026849267641066165	0.02217128075798727	0.013364881120016261	0.039324087278117065	0.03045524178274733	0.0129837757516319	0.017134660776228557	0.04679358724930464	0.017642156075049837	0.030909431348516942
lav_____________A	0.32669572268144853	0.7700729643778372	0.529785714908132	0.7402336963525448	0.7122035755067933	0.6815622696310258	0.45282211096415415	0.7544293461978163	0.7639542601709562	0.42133884854213194	0.8194551105092726	0.46463342767193044	0.45285839733425864	0.5602849267976256	0.6840846112697807	0.6699158725428868	0.47228869629130643	0.26926249374751454	0.627040475725227	0.7993685340711164
hai_____________A	0.042730891235192275	0.017379667413090622	0.026474160637508595	0.02555469008103747	0.029715182210811576	0.029414211083311124	0.02905624642913543	0.033922513125924016	0.03720071663322035	0.015871874279075517	0.04989099519777691	0.02647866166222929	0.017782455669041356	0.06407992814047056	0.04032392445765725	0.02369207604874757	0.024587043319871132	0.04053362739850141	0.02124623508057498	0.049492141270480385
bnc_____________A	0.07041243998186865	0.013509171496774091	0.019164441281188233	0.0259196390112315	0.03150295227034003	0.02231205465114682	0.025009406419450562	0.03224263131212879	0.031756273700689626	0.01900816668732809	0.026816320615190768	0.020664552170529562	0.014753990435966546	0.03918181554279709	0.02497845997092536	0.01629160089762099	0.01583957457705809	0.04968076224105006	0.02053444531710107	0.030251210855037108
uzb_____________A	0.1017542530133852	0.08590576158530862	0.3911826191412472	0.12109677252088501	0.05227472834995972	0.4690161549576777	0.19386547466519422	0.5194671762177697	0.14928363829514027	0.43889085087645013	0.2843420434148876	0.06714682729222238	0.05537575767142512	0.09926483613929027	0.21176128458525043	0.2711403588417561	0.33568497822578675	0.059477798529529016	0.11943901889312693	0.42125431600500596
nor_____________A	0.08162949002224947	0.029083573731456976	0.07139051844765272	0.0775643087776407	0.11204915246701738	0.054416099592252715	0.06441383984735329	0.060260092476284756	0.09590172208619235	0.026889446844570862	0.0782586178695536	0.05564058842654626	0.10516969166073925	0.14568078207725016	0.10201497510351423	0.054225298723364776	0.07190065259042414	0.11189405122163795	0.053133587796076014	0.1086687835451101
zpszap6_________a	0.0784385617569785	0.07771803955121713	0.037753703628236504	0.03443395837621668	0.1206335678840431	0.03935370523482472	0.05085773114334564	0.07031903343248552	0.10012249896259957	0.028876192672398666	0.14856318386331563	0.04451366012063011	0.05514881317975681	0.11216961347548095	0.06039784570631394	0.025804698617678375	0.03577153265391557	0.07797088168683985	0.03265357534184995	0.13663978227148857
yid_____________A	0.0760963802321668	0.044025431699669285	0.05274840001574949	0.06048504472583975	0.05551632968232761	0.13230416024067881	0.18277486799860598	0.21711313967176393	0.05487282442521882	0.09402396198848426	0.14525427704097987	0.1339671874606433	0.02589184765107063	0.11918919322940302	0.1566228772471298	0.1259729790360776	0.08923356637245808	0.09413708741929505	0.14175064760202208	0.07601714376944557
jrb_____________A	0.030262793918215316	0.018373896535160715	0.02728600984840913	0.018938532787936332	0.03871223545618041	0.037664500744060324	0.03880426929153945	0.03509798436368177	0.03757872089956893	0.014939964293219353	0.06356948766954221	0.041610816333786244	0.024590000811960912	0.10350186118850314	0.05614702381916932	0.025541972769628933	0.034000761564622124	0.05975642962348775	0.025281577807075205	0.06990993224154003
pus_____________A	0.178993746101771	0.07773533297733085	0.26549130546042254	0.42509721230230807	0.14364877477345966	0.25966437466082054	0.2939465725280848	0.245009051327838	0.2717594362409513	0.20571210365141665	0.4369906155855608	0.08385852793246017	0.10479785797988823	0.3738442272549337	0.1823328146418616	0.13124907557652615	0.2720559388123069	0.21072604568028194	0.2868190972553118	0.5721265278714289
kau_____________A	0.08254753869229399	0.043655192962027294	0.06838862134071579	0.029187897940884205	0.15197100536460725	0.057965653505919264	0.040556951131174496	0.07209771986031871	0.0853468063525488	0.04858654517410011	0.07558603607405617	0.08825415133515564	0.039629883612887516	0.16589482138242076	0.05036022760743923	0.041338913507514556	0.0778342633871932	0.09755566432684176	0.029354822551214157	0.15615304253888018
hbs_____________A	0.1782885562427846	0.0354883757787411	0.0286023376811178	0.07910203712656697	0.0691499310126692	0.08100446518701362	0.12150289947677988	0.09114711350330695	0.04842531483524001	0.033461242431087286	0.08593775690795401	0.05612831323035588	0.05014576212015134	0.14593971436139352	0.10634323496976902	0.04573193480285664	0.08884687027705755	0.10038689483391766	0.07602063212991648	0.08140799747629075
syr_____________A	0.051957456386466525	0.02380491227675474	0.09190551537905253	0.07424144673178014	0.09317850480325598	0.03703508415374669	0.047003283173895516	0.04730932272437312	0.0806732119019105	0.024340430223299854	0.062259403845626345	0.04067861989347747	0.08039590749031801	0.10022133485672582	0.055167125166429846	0.049024625260208884	0.055212930777047996	0.07150804762885861	0.04322331337244749	0.10655736796563754
luy_____________A	0.06232423328428023	0.014788756239954895	0.02467185082415825	0.015568868242862964	0.03326891173483411	0.023155285687064	0.02727052152579627	0.03253478651241115	0.03396802507208979	0.019314824390442287	0.028390986349439203	0.02290336737741408	0.013851343252564036	0.042137823891830746	0.027769175460589764	0.01391639766830113	0.01739356283171095	0.049545186837690595	0.018709575069861973	0.03275976972437351
nep_____________A	0.08701838893416179	0.13233155425314017	0.06725172169743965	0.10285153922527913	0.18867037532151704	0.18051766098620753	0.09381292248774321	0.2597896856387919	0.4096427056637907	0.21293825170964825	0.2955713913659932	0.17329255519140951	0.07497922452570288	0.099732347448168	0.22850065381611104	0.24972191769791163	0.09745900936959807	0.1668445283407813	0.20969726690344032	0.35938424500348415
doi_____________A	0.05003225573116382	0.023375697920244982	0.03591584761948855	0.03497533157757826	0.05797444991451716	0.03343080044711703	0.0390999019198071	0.03458443748602853	0.03887385652326802	0.019154536244428397	0.05997238265824779	0.048490831066395575	0.024089670373464763	0.09679728729827132	0.04808238067375484	0.02164304639801303	0.029729152695280932	0.06926758159540138	0.018327395166925387	0.06294182180542054
bal_____________A	0.07612680927044796	0.042061244115105145	0.06569222997584404	0.05837513868052786	0.1370397870010721	0.0533051025723239	0.037702402757317	0.07502349063947758	0.07820073620359838	0.04549248232649874	0.07017794310263807	0.08461093284599742	0.03744221065162787	0.14743201455159755	0.04634434640425721	0.04027126680967933	0.0724953635080206	0.09353486875493672	0.02864477552734035	0.1388458618538235
din_____________A	0.12985755081668524	0.026224527073849365	0.03942503138895611	0.0351282457832917	0.057266412413609726	0.04096158855206108	0.0549545542470543	0.053234393274327635	0.04703493808718353	0.01947789058471289	0.06971312451062477	0.04781750740986102	0.04618390515963141	0.12150118022240802	0.06458894620373785	0.041087314203091266	0.03795493837305806	0.15020888964284185	0.04606915599326742	0.079676012548929
aym_____________A	0.09376509775669253	0.1323481165937975	0.04152618447181495	0.02965581826350148	0.2619123991449014	0.06927287292215051	0.04716665132478868	0.1003095875011173	0.17723856492384318	0.06253873301035247	0.16350816538911675	0.08234418592054055	0.07547340845747764	0.16345089748232025	0.060688462425231085	0.04497118911546301	0.08231501498904611	0.10288579808380292	0.045076813651361035	0.2015254637827031
man_____________A	0.062424230050710613	0.015359122496785685	0.02105420108046446	0.02724839475246143	0.03504517394712002	0.02390520316536203	0.028552150557699166	0.03734570821292592	0.03580398135712178	0.019965121277040504	0.029843594277217785	0.024194336858023	0.013828516240678483	0.044823192326652196	0.03102000733397808	0.013620214109204859	0.018161478675159697	0.0509646933560909	0.01865199395386955	0.03482007838899022
orm_____________A	0.1373354122384657	0.11774600610921108	0.029765987653538942	0.059199697210431994	0.3046481477817068	0.1010483196860041	0.07689669511770554	0.193144989821105	0.17855626867774244	0.06707977264865024	0.11956472264888172	0.08970110277800468	0.09861982714076532	0.19220416372997523	0.08901172243756132	0.12058214610111077	0.12068631910559478	0.10571452715042644	0.11012490441910289	0.21272705365324127
ori_____________A	0.07355675846641226	0.09005518828636393	0.06428395486897848	0.2596233769875239	0.09135766220268844	0.12994537465495135	0.03382671718379816	0.08099398912447482	0.3736186702101392	0.20023335516267102	0.24967325689508107	0.04442309471409407	0.06095012187120436	0.08981999595912243	0.06398134821760225	0.11710787642260789	0.09736237055816065	0.16724093257925274	0.22622922492925035	0.34031546060433926
mon_____________A	0.08071365167452844	0.08802375921498293	0.17620221718520018	0.15476223245645354	0.06854329816989929	0.22534837212840106	0.10968897560138839	0.33958817154177223	0.1360169214260517	0.11853839793791837	0.09317620460919851	0.06889757092409486	0.09095249915342696	0.13485689399139542	0.1430004651437245	0.20558845445814092	0.156941570713635	0.07918037343174905	0.090564902878602	0.14742579674120168
del_____________A	0.042119156671930294	0.016729395599951232	0.025597525240487865	0.024603507193691355	0.028464518323692456	0.0287819282297421	0.027593785853515868	0.032804080497582176	0.036639102937692576	0.015728732381279985	0.04874175120659774	0.025357657285322726	0.017220712112056592	0.0613833264329586	0.038941086979054976	0.02338985843095667	0.023850939418531038	0.03812481332233226	0.020736597368213486	0.048068768355183304
den_____________A	0.04803248245397003	0.011764809370916004	0.017073912556405325	0.023368949590943783	0.026595372265613496	0.018668294333373418	0.021466338115413524	0.02768238844746942	0.026764449113834403	0.017386918249159587	0.023400574966482384	0.01716749553387637	0.011125282360512094	0.03237086406496323	0.02073815885593496	0.013392750819058389	0.013729754183783466	0.03138846543353288	0.016618467687253727	0.02553678410204044
kok_____________A	0.051480820035773645	0.01614693756804838	0.016226972858696936	0.05674271949155469	0.027434652854360853	0.055712937769110106	0.09640738750798375	0.017133900413739342	0.034973224545449856	0.06298994905741459	0.13323363007217043	0.027396398988354703	0.019893020123601394	0.11425986947976434	0.027170546956651193	0.01991978572339848	0.06753061331866379	0.08346946516565257	0.05331654642532275	0.04828303340252916
kom_____________A	0.16519919602344138	0.08711543230234613	0.03983443382946049	0.0358651815972361	0.11978715672918076	0.06294512889563174	0.10260385231157267	0.06504376887217807	0.10088217712506894	0.039675148218097436	0.15219263195538318	0.043984595786361984	0.08206516162263182	0.11118514452790285	0.06209813924881629	0.04924453940028105	0.07718262641646087	0.0763648141390689	0.07946120155462984	0.13640671918862962
kon_____________A	0.08829391493531474	0.09783538105439651	0.03597942020134519	0.053595331424575086	0.14072379969127716	0.09180676663773565	0.06196581787385128	0.10212809715879916	0.14692751852664998	0.060774672102256164	0.24496655248221072	0.07755293748578139	0.043408362536390924	0.1381266670234011	0.11388747159016785	0.02478178269471748	0.04186783675201307	0.09520280714063083	0.033020722553260176	0.27465478179568137
iku_____________A	0.06353660129793652	0.026271815333636848	0.09987323202099833	0.08053743959193499	0.11130253654279029	0.04339656453485158	0.05537429541544974	0.12048994077049346	0.10030224199584147	0.027836520736423665	0.07506810226591538	0.050412822293281596	0.08823735598932868	0.13394601378642357	0.07757584594796726	0.108838795163678	0.06340076252248811	0.08477142219112734	0.07624051994211255	0.132440905802772
ful_____________A	0.3655886149142628	0.08155391487093756	0.05331151947123563	0.09565240399604223	0.08646012332443082	0.17666858852580003	0.18768597961257463	0.19686806086312222	0.08171273414969704	0.10422807938949451	0.10197346311687724	0.02565892076231848	0.1310646075119298	0.047364881729236925	0.03600890797036345	0.15413250521197058	0.18216012410398344	0.055013013779215005	0.14974403534639336	0.08191587505963246
bik_____________A	0.09570170674532037	0.13889422592590508	0.07304989394708283	0.0587671223537014	0.29504006336417093	0.06570475666239854	0.05145513472978708	0.13528354290468517	0.18429547810935507	0.06414955007323407	0.1714085552795944	0.0882547370389803	0.07516899994427036	0.18592631485286676	0.07423910957522982	0.04307694423085208	0.08945507445728382	0.10369459844764348	0.042195685362632615	0.28321250357202143
zha_____________A	0.18840224509412193	0.050759567310744685	0.07843873598995166	0.12023040143069774	0.153444512166958	0.094188320518293	0.07642321647179998	0.15324913270371693	0.08406235692168107	0.07099771846938847	0.07336063753009739	0.08818474207284638	0.06435088214480804	0.1853549996323054	0.06471790564079022	0.06261738659458575	0.0979874534715197	0.10470894155563294	0.06332565085698062	0.18207019827454635
zho_____________A	0.3236156922606211	0.16200905084973968	0.15050385670341998	0.18166165718781488	0.16265533704275326	0.18197363677824702	0.1926628720366137	0.20618153091650535	0.1094572362216596	0.12239673073761609	0.17276807007963468	0.06103796218436034	0.2599928570589451	0.15663985977976144	0.06527470788817133	0.16458008233249427	0.20419101630737516	0.07391146682952257	0.09817248516516361	0.08472970123750516
chm_____________A	0.058731341533756344	0.025833162926185406	0.03900391021406363	0.03519796669193933	0.056532354011081976	0.040940265932046103	0.053673051074244346	0.052260114315879944	0.047746166700631754	0.019584647004124326	0.06957425190563632	0.04715535491505952	0.026692899689503287	0.12041310058893573	0.06534659168155788	0.026077374991881137	0.06168618351985102	0.08250268736980536	0.04505817845965465	0.07921554541198876
que_____________A	0.02430515724237653	0.034012310912753564	0.011099089378032992	0.00595794667016131	0.16886385713401433	0.021719506173384216	0.014018476828872667	0.016149147928680926	0.08451189718166907	0.07183641162789274	0.062021265807052375	0.08093314791971835	0.026610095574336873	0.038630269685063647	0.017644337283835874	0.018400311322572718	0.027270914213304666	0.03444673622196437	0.011514903881189762	0.034015043076640994
est_____________A	0.4478135609647296	0.31875702380220533	0.20730791982284194	0.26050241674801683	0.2764837200854356	0.47893241676094633	0.2909281548850605	0.6282724777594476	0.2238391802261639	0.19630014800632223	0.10263282821093217	0.19540827937106084	0.25352283108970836	0.2319451702465655	0.21666742836957725	0.33108474559395756	0.34289546333773774	0.1484362811614118	0.07274510900441578	0.1689872501689764
bua_____________A	0.16531343216643887	0.08721692045482585	0.04792536142200502	0.07457660602585361	0.12028786904634792	0.06313073519240751	0.10340336202937869	0.09195534428205544	0.10044906015035103	0.03945409314257076	0.1516945299689076	0.0442937909158019	0.08255483729169662	0.11176437342895607	0.06385717780755978	0.0489821310818623	0.056016145911628505	0.07730001259827825	0.05331682390124145	0.13654995845903015
mwr_____________A	0.05988447294523497	0.02716002349527852	0.04040949516508001	0.0346058103142239	0.05885875999216717	0.04171720378195378	0.0581630663336406	0.05574440914914181	0.04486578786422759	0.019123624190896114	0.0697722560891159	0.04941277057586183	0.028270851918865032	0.12377791143874252	0.062260288294881685	0.02509849846252366	0.03939451877648999	0.09005542630252039	0.028090766860551383	0.08054569865358069
kur_____________A	0.4016907880715561	0.1757717337795094	0.208164140551387	0.172936605458854	0.14051747209083393	0.339632377101803	0.3946825274306951	0.48648430803772985	0.10137497950254147	0.071489268420767	0.14717910169584777	0.12168766426394051	0.18794809342330465	0.13872520373830538	0.24403809755746558	0.25013979797328967	0.1802526463900387	0.11081095014337934	0.07876964144008619	0.15273129548182648
gon_____________A	0.05644154971524173	0.02558814308060391	0.03846392790194646	0.03442474810079547	0.053875930713231664	0.03977175513674785	0.052854773901055516	0.05169048818450818	0.0451313164102907	0.018712594644200272	0.06689427212640885	0.04560621888772432	0.02640443770300284	0.11409248194252189	0.05951942323211262	0.025492853795503215	0.0366445209083496	0.08138068111019661	0.02722858816538112	0.07545779516909326
raj_____________A	0.08435902853751477	0.044437904406072856	0.07108780164537971	0.05720856997837159	0.15326510881137212	0.05871629490034681	0.04185297737868161	0.0810336038391834	0.083758327438979	0.049002221627855724	0.07701662475115852	0.08819902222667746	0.04056243729512869	0.16782301016246057	0.051141046471747345	0.040881314599220626	0.08007899711758018	0.09948079752310514	0.030063453196842872	0.1588438287124356
sqi_____________A	0.13438193554191113	0.12063747567334757	0.18576976011393678	0.3313699004270912	0.048532502371412795	0.4756240281594078	0.377476686416903	0.4351390174262485	0.2002833424327821	0.20548787158940246	0.3622604098973968	0.07377835030472585	0.10688688637958293	0.133087450450467	0.32828808867854137	0.2968191531795869	0.2464690219228011	0.08677492096596566	0.10932494235997964	0.23995017605293303
rom_____________A	0.18772901060275468	0.03445052683766619	0.050000331604871724	0.07940522366858263	0.06482126931255175	0.06987095110078397	0.11618962456622342	0.0898622746668419	0.04980699534056041	0.034576007598342735	0.08675958484769097	0.05278598929731271	0.05003223649628158	0.13743448026849805	0.07642334773442061	0.05093415981798352	0.0621443054251458	0.10114882508665002	0.054285392246940206	0.08872975331004047
msa_____________A	0.4350076400701843	0.3839547458953564	0.6690632415874412	0.3892153039375046	0.45659109442116486	0.7341692306007992	0.7654681963525718	0.6307970186584515	0.4524039624279909	0.6850162155574319	0.619301359259567	0.6306310891185241	0.24015143945713444	0.646983316205637	0.7283280208216594	0.47055774842695847	0.5464558587602175	0.5164256906116149	0.5226853626089172	0.47053225055327025
fas_____________A	0.13172584655054861	0.09871504317952691	0.08697991508776887	0.11615589858250966	0.09835442026098441	0.31995425059601823	0.37218754877610993	0.22733875871687742	0.20047286464152192	0.1526802377065109	0.21449396248899613	0.14036101977584528	0.16857224136395527	0.13156766920042967	0.16772466302552716	0.32123175697865164	0.2454933939267678	0.08741206469212588	0.10434326182394524	0.07338252337484034
ara_____________A	0.2982797173388984	0.44595784148438855	0.5054688702213896	0.2835651128341588	0.6276381768642962	0.4823230084519884	0.4000368667422867	0.6715704113891019	0.5769519736715861	0.2919732154199219	0.08948666612449417	0.6015742496234486	0.4792364170650568	0.23569866385578375	0.2339768826260604	0.596830133906755	0.29468132133437624	0.29986426226970264	0.14413868151168938	0.22079695863879795
swa_____________A	0.1820979478858391	0.03437061435109361	0.1116637198771981	0.16279193330461883	0.051710946447643895	0.28059546284987463	0.21201073351442598	0.12838032765414756	0.08731831181451619	0.514363115613854	0.15383912591627183	0.09339965607452935	0.03610158448938886	0.13930935140161002	0.05401870916326246	0.06179146591630816	0.27758631287613	0.07780755065308392	0.09852732073166322	0.12898260013119922
zza_____________A	0.05913146727102051	0.014628913177826698	0.024584988272351442	0.015606858604237725	0.0334158567370152	0.02279521136861127	0.02706721678811964	0.032295234586962845	0.03399885833965667	0.0194565972571593	0.028415753897782205	0.02269688328353315	0.013281336245689937	0.04219681924844201	0.03126755433710961	0.0135963888168101	0.017204404357708918	0.04681290031179268	0.018248256304812013	0.032694636396378915
grb_____________A	0.05573073565765727	0.013828334486011683	0.01946677548393696	0.02595571970392902	0.031601713374608306	0.021597528103444848	0.025464166308044177	0.03306074034836457	0.031976605752259614	0.018895565140088718	0.02693839353661299	0.021092460151399334	0.0126733129099227	0.0394137459691581	0.027273061645915787	0.013570265966115417	0.016181780088279793	0.042310925443316987	0.017805168630355455	0.030514403826355927
grn_____________A	0.13966363491750725	0.11969280522250372	0.06257708734754017	0.11738356209850921	0.3788864978673853	0.10375532124342965	0.0779528419892935	0.09282307969216061	0.3247104042099118	0.05841477147245582	0.12168014063551905	0.09136576700761274	0.2272251841684388	0.20001463963863456	0.07023155319566113	0.10661761261256793	0.09999083871050939	0.10577458281111045	0.055120872916953625	0.2595157746876655
hmn_____________A	0.07903519788823027	0.07947164581102163	0.039018355319052435	0.03428349119538289	0.1232525737073741	0.04008448494254677	0.05448986896176053	0.07198795489107422	0.0964170056741724	0.028067387248300425	0.14812371259051818	0.046475999688819755	0.05663350683952083	0.115497807887111	0.09646362754021488	0.02516816409163476	0.03736968060694669	0.08419390401035137	0.032920807426994395	0.13692663223716128
xtw_____________A	0.04208037494035553	0.00978169664421865	0.01466371480887628	0.019891457957560463	0.021676453899363766	0.016203029124148942	0.017863365085192148	0.023355455804115178	0.02242227172215845	0.015829604726994902	0.020182636374673293	0.013810178768313334	0.009754353216746293	0.025876088641060405	0.016796876986189098	0.01295423495356028	0.011688404272527198	0.022552342924331396	0.015372983991103852	0.021591283911156542
xtv_____________A	0.017063615615301963	0.005408006886785597	0.008058374881795675	0.005960448673190483	0.009394809792855315	0.014655509049360974	0.009119581916050048	0.009263759442885447	0.008672107352544676	0.01132170464939893	0.017842713873146936	0.01181285435143963	0.00911265785051243	0.021046225076190687	0.014403031790050437	0.012357920458527563	0.010630869180361624	0.010357298215144216	0.010852572311281337	0.018445715694228648
mizxtu1_________a	0.049715355483342764	0.01218523130920543	0.017604550196777417	0.02407742531075838	0.027881163832681084	0.019304195882843014	0.022334353555391245	0.028761084648107494	0.02803566168280883	0.01783038664909858	0.024264891557602235	0.01802614673609958	0.011440717767559202	0.03412590917519356	0.021769336812491207	0.013501022967353893	0.014235085448144886	0.033552268701789845	0.016926719234880733	0.026701973837175007
mcextt13________a	0.048958055193322574	0.011855507954802558	0.017255570764884983	0.023712052203280057	0.027397692785112143	0.01896072614810645	0.021819186202815085	0.02803585158314222	0.02759454076075635	0.017766752633665873	0.023956650367534017	0.017563827599176633	0.011215143831024222	0.03350051540286462	0.02124441578083456	0.013531266077819749	0.013916276737679074	0.031995029732167175	0.016815567092201947	0.02630181827795445
mabxts10________a	0.04290731155105115	0.010427056615254242	0.01530794573565641	0.020863499507262497	0.022435433364955477	0.016668025626406537	0.018732622665579176	0.02439425671658806	0.022788327684049443	0.015910066363753743	0.0206621150646773	0.014475720881571156	0.010123295772587916	0.026746806672997833	0.01753699035632218	0.012962911441204933	0.012164036515071138	0.02490642282824959	0.015590793621395966	0.021959416479846904
xtr_____________A	0.04442563343505289	0.010199744078580994	0.015362936509133176	0.020977878020853463	0.023702227749275693	0.01706953010700394	0.018944674342709366	0.024548342055670507	0.024447603673710853	0.016682332370846546	0.02152306617968487	0.014962954295080608	0.010118562226373333	0.02870055933789144	0.018189778741129464	0.013266947325591182	0.01229500226109923	0.024675638319913595	0.01587649218839761	0.0234009404640443
