	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
cbb_____________A	0.027492535424415123	0.02749111650990611	0.03547133032545785	0.017433549746977136	0.047733492406504416	0.03806976853725071	0.040921897951816	0.027012052188023328	0.013787872767363395	0.01997645363379992	0.042809835018634855	0.020437835183291262	0.0495257977413911	0.023246803296825023	0.03494252351733337	0.037915952492418886	0.03248712357192278	0.02711035820695056	0.02712558978728603	0.025392831066558604
cbc_____________A	0.032553482960905454	0.03253577090222874	0.047869216505355264	0.02073457310386826	0.06576962906589572	0.04598423960568317	0.05644797866744536	0.03591985317639275	0.015469950041371488	0.024115736205459076	0.05873928802836172	0.022866207865108425	0.06181166856514993	0.02874618182841576	0.04408749300140836	0.0520181714206803	0.03720331416486171	0.03194999192840331	0.03243707470949192	0.03305927392284615
cbg_____________A	0.028797289891417124	0.028769399752432177	0.038542696281626196	0.018272460421674366	0.05038153776054905	0.04012484012782136	0.04276753849470723	0.029238548967462575	0.01420223812606414	0.021013305517471347	0.04519432177117134	0.021105771413313264	0.05274478786744284	0.024644014139387316	0.03719449781752942	0.0397946548202669	0.03373425019294456	0.028367658834586237	0.0284953962123929	0.026299015813171588
cbd_____________A	0.022254696271917958	0.020706393273316363	0.021378483014359392	0.013354733202807043	0.039551582099616484	0.02959074285994461	0.03327782380082004	0.016448147946750414	0.010952017207677023	0.01480711448577246	0.0323803124370245	0.015785977248239144	0.03595746817455154	0.015802305444085406	0.024018526772056185	0.028285401238219786	0.027022962702720404	0.021986835035909136	0.019726190300770594	0.021027477442378224
cbe_____________A	0.017894000616884596	0.028251748307487015	0.030787516971451885	0.016588813646981546	0.01812841388121102	0.022679379961923565	0.022937806014744346	0.027084727098414908	0.020650383109756237	0.0206475369754042	0.025946285270448784	0.024646806043468483	0.0253319060916294	0.027597262372938244	0.03575858874350337	0.028222965679186186	0.02205580248672526	0.017737356858999163	0.024994743781886455	0.018119141084512156
cbj_____________A	0.03455920274706473	0.06439618884909966	0.1289078945430336	0.03482143642142526	0.03860044811896885	0.04995593655598437	0.049261214168247865	0.10233506802217014	0.03609577348806268	0.04723985076315031	0.0676784218344802	0.049772697719204374	0.06963479905163507	0.07541301119301963	0.10114936052391169	0.07029986333193766	0.03878292251436705	0.03432166542024033	0.06729792761183911	0.034715260386424904
cbk_____________A	0.23969099987423917	0.4897504209403099	0.6727936735262798	0.323304052645784	0.22058120327764918	0.5975865040368616	0.3238757059467779	0.6476564737220813	0.19969264645407753	0.20004286262202522	0.2685775812987562	0.2950102078337123	0.6593096911098293	0.49759586681029094	0.7158516118238126	0.45282765758180515	0.1601543306134612	0.15710294017052	0.5817506300562024	0.36222652794992266
cbh_____________A	0.017894000616884596	0.028251748307487015	0.030787516971451885	0.016588813646981546	0.01812841388121102	0.022679379961923565	0.022937806014744346	0.027084727098414908	0.020650383109756237	0.0206475369754042	0.025946285270448784	0.024646806043468483	0.0253319060916294	0.027597262372938244	0.03575858874350337	0.028222965679186186	0.02205580248672526	0.017737356858999163	0.024994743781886455	0.018119141084512156
cbi_____________A	0.08026340503756488	0.0769248005820509	0.17275094168463448	0.1710439795990159	0.24597144188578315	0.17328798787502508	0.17826111949980977	0.12383289678412822	0.12443782484819675	0.0955691108901191	0.2170736892250451	0.2511202109684663	0.11506638216427137	0.07430316912864524	0.08931908262881974	0.2680960213013709	0.11951857812269809	0.10610501868649239	0.10762407983858804	0.3047123302226973
cbn_____________A	0.029711313916955345	0.029169890390489252	0.04184677518568313	0.018672744397664063	0.05685452547880817	0.04194514544217022	0.04835444665158818	0.031686899790186025	0.013863126862970587	0.021334170384872654	0.05039038941429109	0.022034796014424776	0.05627309247878421	0.025670755456982233	0.03791413983140597	0.04564585864907811	0.034652310468951696	0.029404446338350952	0.029698649985228788	0.028955551487880215
cbo_____________A	0.02672117932306636	0.02636645270496248	0.03432801248597648	0.016790808440675473	0.028397179615119342	0.037154400912911646	0.0213297793569942	0.026235781701177883	0.013076122795710939	0.019052428471369728	0.026083044780880627	0.020367851487944014	0.048592549069507544	0.022425945867065027	0.0329558281425859	0.021417704041253798	0.031850350649265835	0.026469385692522735	0.02646104019873019	0.014644831113286178
cbl_____________A	0.03397927288933466	0.06273370184024876	0.11351940725670867	0.03408550629090742	0.0399226435765774	0.0484718375577905	0.05172508405295359	0.0925724288283249	0.03682567085213528	0.04635280406616326	0.06794862244663943	0.04677461775949411	0.06612534994451477	0.07165076887386679	0.09794022630761098	0.07034902076532587	0.038492824285182844	0.03342281707030466	0.062164535711865664	0.036735864740583796
cakcbm9_________r	0.022678987366086065	0.03798282632181339	0.045085407708263865	0.021724354946390127	0.024426445478586804	0.02973524351801869	0.030216039146234764	0.04035652700128356	0.026484276044543575	0.028185508624744757	0.035879660310161286	0.03057781122994547	0.035578633821071216	0.039014089392952964	0.052352971126518225	0.0382394055166237	0.02692371591809139	0.022318408356322036	0.03321571970841304	0.023874596958744734
cbr_____________A	0.033059936353603755	0.03628195011641938	0.056041376913995605	0.0643876858057959	0.07025859411468303	0.0468679073909917	0.06628214823092679	0.042206743116118224	0.05289608947613994	0.026842639073761096	0.0688881558414207	0.104870906525626	0.06333892009863434	0.03336811943967064	0.05057333464740901	0.06399851677016088	0.03767330955358439	0.03247015997876193	0.03648511151560039	0.09617347997210068
cbs_____________A	0.0858604378604175	0.0835400197103962	0.18618292336152767	0.18346075906303674	0.2355616318098256	0.18381737655623065	0.16415267029791153	0.13603973046453433	0.13398069648667502	0.10469035898578574	0.2088185878086508	0.2599948819771291	0.12436879717927873	0.08182354239315076	0.10008806582062169	0.25099906486438517	0.12499364512116852	0.11265351625532186	0.11468274422441663	0.28979354702626875
cbq_____________A	0.030838522733261965	0.05601418036234616	0.09413725801928158	0.030612268271462243	0.03404987391302364	0.0434610492770011	0.044038223639917266	0.07754769275911319	0.03394442576576455	0.04109645565933183	0.05705846803524547	0.042935885634044234	0.05817483387808829	0.06248732600258314	0.08442227221101516	0.05930492286280127	0.03566658680087042	0.0303778629047907	0.054682202148875494	0.03215086255474697
cbv_____________A	0.03201963859946156	0.032135750871581714	0.046190008358910066	0.020436311814723822	0.06345970066712887	0.045052837071529156	0.05454218826677623	0.03471692793240456	0.015457907075571204	0.023784950143216285	0.056796982332215	0.022511410744631144	0.06020802278939001	0.02815501601206636	0.043336030389430374	0.050070094164373434	0.03669390036743691	0.03140507416793506	0.03181574754449997	0.0321948326550371
cbw_____________A	0.0331086589751217	0.06114643164350974	0.11442847415913635	0.03316630182322734	0.036787713852992045	0.047424878267385596	0.04735948836509831	0.09203475097000102	0.03535413166684702	0.044819355334588105	0.06351383192517109	0.04702657563620407	0.06512802652997296	0.07020332151887469	0.09446864767661439	0.06593819908235002	0.037660558322766186	0.032758819525731446	0.062214685868255695	0.033812403982550775
cbt_____________A	0.09025679113374174	0.09369426266400588	0.21932736859091523	0.20033674082921044	0.2461021385465426	0.19802579848759155	0.1789241382006357	0.163851572273069	0.14950491481597986	0.11696829045265168	0.22999145893760875	0.2871161757273727	0.13512877456029945	0.09647436703948345	0.1153691192147577	0.28116247095861624	0.1315499455251866	0.1200423096765214	0.12916001897635343	0.312250503174917
