	exp_with_feature_sel_1	exp_with_feature_sel_2	exp_with_feature_sel_3	exp_with_feature_sel_4	exp_with_feature_sel_5	exp_with_feature_sel_6	exp_with_feature_sel_7	exp_with_feature_sel_8	exp_with_feature_sel_9	exp_with_feature_sel_10	exp_with_feature_sel_11	exp_with_feature_sel_12	exp_with_feature_sel_13	exp_with_feature_sel_14	exp_with_feature_sel_15	exp_with_feature_sel_16	exp_with_feature_sel_17	exp_with_feature_sel_18	exp_with_feature_sel_19	exp_with_feature_sel_20
how_____________A	0.05017171132594373	0.033917305766077856	0.062076029079467514	0.05472412435607379	0.023070011963957995	0.025415189499034405	0.04932671697222293	0.0398971008540513	0.05188770244160242	0.020412864304517764	0.03860232338266984	0.0499073999806263	0.03124973006454603	0.03872737970838467	0.032774613474014246	0.03418133672551301	0.022052823957842214	0.023844574123777874	0.01984952554038224	0.03589972044279542
hot_____________A	0.07762908027715354	0.03381132432154247	0.03559074154030762	0.038890998873454735	0.029033313845545278	0.04970887939184808	0.08549620251394426	0.02585964177937009	0.038597780614626646	0.043885989895105955	0.036472555013323915	0.28655329217936787	0.05849349133073088	0.10511268224042462	0.030485248124728765	0.054155822813916	0.07926697100034875	0.07871360509277298	0.05423229381649795	0.09280883487967166
hor_____________A	0.01814168355379214	0.020876611230962395	0.017588750959349603	0.01856231424600722	0.010380087570358326	0.01518542814684843	0.019528773361803666	0.010838957144254318	0.007343549089800142	0.007926261229794188	0.016841112050180365	0.01864883835468827	0.011508956642906909	0.016309080918569977	0.016126324219005877	0.01430743651595074	0.015964488622020476	0.015708361506223612	0.012703260154752576	0.014404518932798533
hos_____________A	0.019350240659146027	0.018445533552195876	0.023455623319751415	0.03748549935619815	0.014536006303264948	0.02595888921175589	0.02626296128283735	0.016061251388590016	0.012088365160172452	0.013125173774035086	0.018587625831834077	0.04104685237333293	0.013041837076330259	0.01659931980850685	0.025804426852862588	0.01798128218403299	0.022157083968859157	0.01585295919963359	0.013960304495560839	0.014657053105981616
hop_____________A	0.12704866123424008	0.0881638169466446	0.06077435372830385	0.09999051740889486	0.051254135316292984	0.16895943174508382	0.14835385347212265	0.05062671439075969	0.0938609138733606	0.07181569724763788	0.055878927749670716	0.5213702562784857	0.08318291000138439	0.16481947617605938	0.06683435653430564	0.17802979078099643	0.1623463394253522	0.13423747147029486	0.17592946244097343	0.12125249007743708
hoz_____________A	0.02085632294243638	0.020344910372053458	0.023836116202477664	0.035750409505828425	0.014320576300679913	0.026296969946432533	0.025781517235675122	0.01570998445728804	0.01303681768478772	0.012644832158476386	0.019663887434065823	0.04059118235490861	0.013774490336556285	0.018127798651795	0.02546911180659237	0.018354852382066272	0.02347820711382038	0.016956390974779863	0.014442506607679644	0.016656077303258715
hoy_____________A	0.029001095554980087	0.03133218463347807	0.031361974330796856	0.034018313331234395	0.014084958446259682	0.02645904504558645	0.025267202509307352	0.015314557186245394	0.01355225748407597	0.012154108989831106	0.03160984710816412	0.0420521860628482	0.019397630086851768	0.025301501738180753	0.02727053769467145	0.02283284108996544	0.022202843978349047	0.023324523644017152	0.018277050699582312	0.02683343664644959
tqm_____________A	0.014855200258362285	0.015578140575189194	0.01392762135159563	0.023152599261830668	0.011637875647666234	0.02002543863721938	0.021517027301331218	0.012427599731165454	0.008032779730847891	0.009274925532245152	0.010594250466204966	0.02436784451636538	0.009395206478963077	0.013083299204854354	0.017415166558325073	0.013209798139485578	0.01824603734369563	0.012499596267409718	0.011139982158018081	0.010984227553033047
fir_____________A	0.2732694358669564	0.15798662281828704	0.27564877743370414	0.6001823240870329	0.08185948166817576	0.10558284028578079	0.30406767960952225	0.20603825469715953	0.11795226191082084	0.18250497974825555	0.2067057164285073	0.12789254410562242	0.2134749124248413	0.0471509569744646	0.13288683834616663	0.16811435492833934	0.21891287941244314	0.12926448560612605	0.17401620556482647	0.10714888606530343
fip_____________A	0.030107716901649668	0.05544003031179203	0.037194456758259824	0.0396332495876415	0.014773298100941289	0.040516080541932474	0.02680610635321328	0.016432403346555796	0.017492538863239725	0.013701860576969338	0.0390370972209968	0.05033875339216908	0.023273463683486765	0.02609673026350552	0.033096074268920486	0.044147015336708555	0.02335316327069498	0.023854137791840445	0.033600474820143465	0.027765811816241468
